API_Name	Wiki Name	PrimaryAttribute	Base Str	Base Agi	Base Int	Str Gain	Agi Gain	Int Gain	Base Dmg	Base Armor	Base Magic Res	Base Move Speed	AttackType	Attack Range	Attack Point	Attack Backswing	Base Attack Time	Turn Rate	Day Sight	Night Sight
56_clinkz	Clinkz	Agility	16	22	18	2	2.5	2.2	18	0	0.25	290	Ranged	600	0.3	0.3	1.7	0.4	1800	800
51_rattletrap	Clockwerk	Strength	26	13	18	3.5	2.3	1.5	25	1	0.25	310	Melee	150	0.33	0.64	1.7	0.6	1800	800
5_crystal_maiden	Crystal Maiden	Intelligence	18	16	16	2	1.6	2.9	31	-1	0.25	280	Ranged	600	0.45	0	1.7	0.5	1800	800
55_dark_seer	Dark Seer	Intelligence	20	18	21	3.1	1.8	3.1	36	2	0.25	295	Melee	150	0.59	0.58	1.7	0.6	1800	800
119_dark_willow	Dark Willow	Intelligence	20	18	21	1.8	1.6	3.5	31	-1	0.25	290	Ranged	475	0.3	0.51	1.5	0.7	1800	800
135_dawnbreaker	Dawnbreaker	Strength	26	14	20	3.6	1.7	2.2	33	2	0.25	310	Melee	150	0.46		1.7	0.6	1800	800
50_dazzle	Dazzle	Intelligence	18	20	25	2.5	1.7	3.7	25	0	0.25	305	Ranged	575	0.3	0.3	1.7	0.7	1800	800
43_death_prophet	Death Prophet	Intelligence	21	14	24	3.1	1.8	3.3	28	1	0.25	325	Ranged	600	0.5	0.51	1.7	0.8	1800	800
87_disruptor	Disruptor	Intelligence	21	15	20	2.4	1.4	2.9	31	0	0.25	295	Ranged	625	0.4	0.5	1.7	0.5	1800	800
69_doom_bringer	Doom	Strength	24	11	15	3.7	0.9	1.7	39	3	0.25	285	Melee	200	0.5	0.7	1.9	0.5	1800	800
49_dragon_knight	Dragon Knight	Strength	21	19	18	3.4	2	1.7	35	0	0.25	310	Melee	150	0.5	0.5	1.7	0.6	1800	800
6_drow_ranger	Drow Ranger	Agility	18	20	15	1.9	2.9	1.4	32	-2	0.25	295	Ranged	625	0.5	0.3	1.7	0.7	1800	800
107_earth_spirit	Earth Spirit	Strength	22	17	20	4.4	2.4	2.1	30	0	0.25	290	Melee	150	0.35	0.65	1.7	0.6	1800	800
7_earthshaker	Earthshaker	Strength	22	12	18	3.7	1.4	2.1	32	2	0.25	315	Melee	150	0.467	0.863	1.7	0.9	1800	800
103_elder_titan	Elder Titan	Strength	26	14	23	3	1.8	1.6	28	0	0.25	310	Melee	150	0.35	0.97	1.7	0.5	1800	800
106_ember_spirit	Ember Spirit	Agility	21	22	20	2.6	2.9	2.2	35	-1	0.25	305	Melee	150	0.4	0.3	1.7	0.5	1800	800
58_enchantress	Enchantress	Intelligence	17	19	22	1.7	1.8	3.8	28	1	0.25	320	Ranged	575	0.3	0.7	1.7	0.6	1800	800
33_enigma	Enigma	Intelligence	21	14	19	2.5	1	3.6	27	2	0.25	290	Ranged	500	0.4	0.77	1.7	0.5	1800	800
41_faceless_void	Faceless Void	Agility	20	19	15	2.4	3	1.5	40	1	0.25	300	Melee	150	0.5	0.56	1.7	1	1800	800
121_grimstroke	Grimstroke	Intelligence	21	18	25	2.4	1.9	3.8	23	0	0.25	290	Ranged	600	0.35	0.53	1.7	0.6	1800	800
72_gyrocopter	Gyrocopter	Agility	22	26	21	2.5	3.3	2.4	19	2	0.25	315	Ranged	365	0.2	0.1	1.7	0.6	1800	800
123_hoodwink	Hoodwink	Agility	17	24	21	2	3.6	1.9	25	0	0.25	310	Ranged	575	0.4	1.5	2	0.9	1800	800
59_huskar	Huskar	Strength	21	13	18	3.4	1.6	1.5	23	-1	0.25	295	Ranged	400	0.3	0.5	1.6	0.5	1800	800
74_invoker	Invoker	Intelligence	18	14	15	2.4	1.9	4.6	32	0	0.25	275	Ranged	600	0.4	0.7	1.7	0.5	1800	800
91_wisp	Io	Strength	17	14	23	3	1.6	1.7	31	1	0.25	320	Ranged	500	0.3	0.4	1.7	0.7	1800	800
64_jakiro	Jakiro	Intelligence	27	15	26	2.8	1.2	3	31	1	0.25	290	Ranged	400	0.4	0.3	1.7	0.5	1800	800
8_juggernaut	Juggernaut	Agility	20	34	14	2.2	2.8	1.4	18	0	0.25	305	Melee	150	0.33	0.84	1.4	0.6	1800	800
90_keeper_of_the_light	Keeper of the Light	Intelligence	18	15	23	2.3	1.6	3.2	21	0	0.25	330	Ranged	600	0.3	0.85	1.7	0.5	1800	800
23_kunkka	Kunkka	Strength	24	14	18	3.8	1.6	1.8	31	2	0.25	315	Melee	150	0.4	0.3	1.7	0.6	1800	800
104_legion_commander	Legion Commander	Strength	25	18	20	3.3	1.7	2.2	37	0	0.25	330	Melee	150	0.46	0.64	1.7	0.5	1800	800
52_leshrac	Leshrac	Intelligence	20	23	22	2.8	2.5	3.5	24	0	0.25	325	Ranged	575	0.4	0.6	1.7	0.5	1800	800
31_lich	Lich	Intelligence	20	15	24	2.1	2	4.1	28	-1	0.25	295	Ranged	550	0.46	0.54	1.7	0.5	1800	800
54_life_stealer	Lifestealer	Strength	25	19	15	2.4	2.6	1.8	25	1	0.25	320	Melee	150	0.39	0.44	1.7	1	1800	800
25_lina	Lina	Intelligence	20	23	30	2.4	2.1	3.7	25	0	0.25	290	Ranged	670	0.65	0.6	1.6	0.6	1800	800
26_lion	Lion	Intelligence	18	18	18	2.2	1.5	3.5	32	-1	0.25	290	Ranged	600	0.43	0.74	1.7	0.5	1800	800
80_lone_druid	Lone Druid	Agility	18	20	13	2.5	2.8	1.4	20	-2	0.25	325	Ranged	550	0.33	0.53	1.6	0.5	1800	800
48_luna	Luna	Agility	21	24	23	2.2	3.4	1.9	35	2	0.25	325	Ranged	330	0.46	0.54	1.7	0.6	1800	800
77_lycan	Lycan	Strength	26	16	23	3.4	1.7	1.7	26	0	0.25	315	Melee	150	0.55	0.25	1.7	0.6	1800	800
97_magnataur	Magnus	Strength	25	15	19	3.5	2.5	2.1	36	1	0.25	305	Melee	150	0.5	0.84	1.8	0.8	1800	800
136_marci	Marci	Strength	23	20	19	3.3	2.4	1.9	35	0	0.25	310	Melee	150	0.3	0.5	1.7	0.9	1800	800
129_mars	Mars	Strength	23	20	21	3.4	1.7	2.2	33	-1	0.25	310	Melee	250	0.4	1.38	1.7	0.8	1800	800
94_medusa	Medusa	Agility	17	22	23	1.5	3.4	3.4	29	-1	0.25	275	Ranged	600	0.5	0.6	1.7	0.5	1800	800
82_meepo	Meepo	Agility	24	17	20	1.6	1.6	1.6	25	3	0.25	330	Melee	150	0.38	0.6	1.7	0.7	1800	800
9_mirana	Mirana	Agility	18	18	22	2.2	3.7	1.9	29	-1	0.25	290	Ranged	630	0.35	0.7	1.7	0.6	1800	800
114_monkey_king	Monkey King	Agility	18	22	20	2.8	3.7	1.8	31	2	0.25	300	Melee	300	0.45	0.2	1.7	0.6	1800	800
10_morphling	Morphling	Agility	22	24	19	3	3.9	1.8	13	-2	0.25	280	Ranged	350	0.5	0.5	1.5	0.6	1800	800
89_naga_siren	Naga Siren	Agility	21	21	21	2.8	3.3	2	24	3	0.25	330	Melee	150	0.5	0.5	1.7	0.5	1800	800
53_furion	Nature's Prophet	Intelligence	21	22	23	2.6	3.6	3.7	32	0	0.25	295	Ranged	600	0.4	0.6	1.7	0.6	1800	800
36_necrolyte	Necrophos	Intelligence	18	12	21	2.6	1.3	2.7	28	1	0.25	280	Ranged	500	0.3	0.47	1.7	0.5	1800	800
60_night_stalker	Night Stalker	Strength	23	18	15	3	2.3	1.6	42	2	0.25	300	Melee	150	0.55	0.55	1.7	0.5	800	1800
88_nyx_assassin	Nyx Assassin	Agility	17	18	21	2.5	2.5	2.1	29	1	0.25	310	Melee	150	0.46	0.54	1.7	0.5	1800	800
84_ogre_magi	Ogre Magi	Intelligence	23	14	15	3.3	1.5	2.5	37	5	0.25	290	Melee	150	0.3	0.3	1.7	0.6	1800	800
57_omniknight	Omniknight	Strength	23	15	15	3.1	2	1.8	36	2	0.25	315	Melee	150	0.433	0.567	1.7	0.6	1800	800
111_oracle	Oracle	Intelligence	20	15	26	2.4	1.7	3.8	16	1	0.25	295	Ranged	620	0.3	0.7	1.7	0.7	1800	800
76_obsidian_destroyer	Outworld Destroyer	Intelligence	21	22	30	2.9	1.6	4.2	25	1	0.25	320	Ranged	450	0.46	0.54	1.9	0.5	1800	800
120_pangolier	Pangolier	Agility	17	18	16	2.5	3.2	1.9	36	1	0.25	300	Melee	150	0.33	0.51	1.7	1	1800	800
44_phantom_assassin	Phantom Assassin	Agility	21	23	15	2.2	3.4	1.4	33	1	0.25	305	Melee	150	0.3	0.7	1.7	0.6	1800	800
12_phantom_lancer	Phantom Lancer	Agility	19	26	21	2.2	3.2	2	31	-1	0.25	290	Melee	150	0.5	0.5	1.7	0.6	1800	800
110_phoenix	Phoenix	Strength	23	12	16	3.5	1.3	1.8	31	-1	0.25	280	Ranged	525	0.35	0.633	1.7	1	1800	800
137_primal_beast	Primal Beast	Strength	26	15	16	4.3	1	1.4	63	4.5	0.25	305	Melee	150	0.5		1.8	0.6	1800	800
13_puck	Puck	Intelligence	17	22	23	2.4	2.5	3.5	49	-3	0.25	290	Ranged	550	0.5	0.8	1.7	0.8	1800	800
14_pudge	Pudge	Strength	25	14	16	3	1.4	1.5	45	0	0.25	280	Melee	175	0.5	1.17	1.7	0.7	1800	800
45_pugna	Pugna	Intelligence	19	24	24	2	1.3	5.2	24	0	0.25	330	Ranged	630	0.5	0.5	1.7	0.5	1800	800
39_queenofpain	Queen of Pain	Intelligence	18	25	25	2.4	2.5	3.4	24	0	0.25	290	Ranged	550	0.56	0.41	1.5	0.5	1800	800
15_razor	Razor	Agility	22	22	21	2.8	2.6	2.2	24	-1	0.25	290	Ranged	475	0.3	0.4	1.7	0.5	1800	800
32_riki	Riki	Agility	18	18	14	2.4	1.4	1.3	43	3	0.25	320	Melee	150	0.3	0.3	1.7	0.6	1800	800
86_rubick	Rubick	Intelligence	21	23	25	2	2.5	3.1	27	0	0.25	290	Ranged	550	0.4	0.77	1.7	0.7	1800	800
16_sand_king	Sand King	Strength	22	19	19	2.7	1.8	1.8	28	-1	0.25	290	Melee	150	0.53	0.47	1.7	0.5	1800	800
79_shadow_demon	Shadow Demon	Intelligence	23	18	22	2.6	2.2	3.6	31	0	0.25	290	Ranged	500	0.3	0.5	1.7	0.6	1800	800
11_nevermore	Shadow Fiend	Agility	19	20	18	2.7	3.5	2.2	22	1	0.25	305	Ranged	500	0.5	0.54	1.6	1	1800	800
27_shadow_shaman	Shadow Shaman	Intelligence	23	16	25	2.3	1.6	3.5	49	1	0.25	285	Ranged	400	0.3	0.5	1.7	0.5	1800	800
75_silencer	Silencer	Intelligence	19	22	25	2.4	2.4	2.9	25	-1	0.25	290	Ranged	600	0.5	0.5	1.7	0.6	1800	800
101_skywrath_mage	Skywrath Mage	Intelligence	21	13	25	2	0.8	4.1	21	-2	0.25	325	Ranged	625	0.4	0.78	1.7	0.5	1800	800
28_slardar	Slardar	Strength	21	17	15	3.6	2.4	1.5	34	3	0.25	300	Melee	150	0.36	0.64	1.7	0.5	1800	800
93_slark	Slark	Agility	21	21	16	1.9	1.7	1.7	36	0	0.25	300	Melee	150	0.5	0.3	1.7	0.7	1800	1800
128_snapfire	Snapfire	Strength	20	16	21	3.3	1.9	2.2	29	1	0.25	300	Ranged	500	0.35	1.23	1.6	0.6	1800	800
35_sniper	Sniper	Agility	19	27	15	2	3.2	2.6	22	-1	0.25	285	Ranged	550	0.17	0.7	1.7	0.7	1800	1400
67_spectre	Spectre	Agility	23	23	16	2.5	2.1	1.9	25	1	0.25	290	Melee	150	0.3	0.7	1.7	0.5	1800	800
71_spirit_breaker	Spirit Breaker	Strength	28	17	14	3	1.7	1.8	36	2	0.25	295	Melee	150	0.6	0.3	1.9	0.5	1800	800
17_storm_spirit	Storm Spirit	Intelligence	21	22	23	2	1.7	3.9	29	2	0.25	285	Ranged	480	0.5	0.3	1.7	0.8	1800	800
18_sven	Sven	Strength	22	21	16	3.2	2	1.3	42	0	0.25	325	Melee	150	0.4	0.3	1.9	0.6	1800	800
105_techies	Techies	Intelligence	19	14	25	2.5	1.3	3.3	10	5	0.25	320	Ranged	700	0.5	0.5	1.7	0.5	1800	800
46_templar_assassin	Templar Assassin	Agility	21	23	20	2.4	3.2	2	33	1	0.25	305	Ranged	160	0.3	0.5	1.7	0.7	1800	800
109_terrorblade	Terrorblade	Agility	16	22	19	2	4.4	1.6	33	5	0.25	315	Melee	150	0.3	0.6	1.5	0.5	1800	800
29_tidehunter	Tidehunter	Strength	27	15	18	3.5	1.5	1.7	28	0	0.25	300	Melee	150	0.6	0.56	1.7	0.5	1800	800
98_shredder	Timbersaw	Strength	24	16	23	3.2	1.6	2.7	29	0	0.25	290	Melee	150	0.36	0.64	1.7	0.6	1800	800
34_tinker	Tinker	Intelligence	18	13	30	2.5	1.2	3.3	27	2	0.25	290	Ranged	500	0.35	0.65	1.7	0.6	1800	800
19_tiny	Tiny	Strength	30	0	17	4	0	2.2	34	0	0.25	295	Melee	150	0.4	0.7	1.7	0.5	1800	800
83_treant	Treant Protector	Strength	25	15	20	3.4	2	1.8	66	-1	0.25	285	Melee	150	0.6	0.4	1.9	0.5	1800	800
95_troll_warlord	Troll Warlord	Agility	21	21	13	2.5	3.3	1	31	-1	0.25	290	Ranged	500	0.3	0.3	1.7	0.5	1800	800
100_tusk	Tusk	Strength	23	23	18	3.9	2.1	1.7	29	1	0.25	310	Melee	150	0.36	0.64	1.7	0.7	1800	800
108_abyssal_underlord	Underlord	Strength	25	12	17	3	1.6	2.3	40	3	0.25	290	Melee	200	0.45	0.7	1.7	0.6	1800	800
85_undying	Undying	Strength	22	10	27	2.8	1.2	2.8	39	1	0.25	300	Melee	150	0.3	0.3	1.7	0.6	1800	800
70_ursa	Ursa	Agility	25	18	16	2.6	2.6	1.5	26	1	0.25	310	Melee	150	0.3	0.3	1.7	0.5	1800	800
20_vengefulspirit	Vengeful Spirit	Agility	19	20	19	2.6	3.2	1.5	27	0	0.25	295	Ranged	400	0.33	0.64	1.7	0.6	1800	800
40_venomancer	Venomancer	Agility	19	24	19	2.1	2.8	1.8	19	0	0.25	280	Ranged	450	0.3	0.7	1.7	0.5	1800	800
47_viper	Viper	Agility	21	21	17	2.4	2.7	2	28	-2	0.25	275	Ranged	575	0.33	1	1.7	0.5	1800	800
92_visage	Visage	Intelligence	22	11	22	2.8	1.3	2.9	28	-1	0.25	285	Ranged	600	0.4	0.54	1.7	0.5	1800	800
126_void_spirit	Void Spirit	Intelligence	22	19	24	2.6	2.2	3.1	32	-1	0.25	295	Melee	200	0.35	0.78	1.7	0.7	1800	800
37_warlock	Warlock	Intelligence	24	10	25	3	1	3.1	29	1	0.25	290	Ranged	600	0.3	0.3	1.7	0.5	1800	800
63_weaver	Weaver	Agility	16	17	20	1.8	3.1	2	40	0	0.25	275	Ranged	425	0.55	0.36	1.8	0.5	1800	800
21_windrunner	Windranger	Intelligence	18	17	18	3	1.4	3.6	30	-1	0.25	290	Ranged	600	0.4	0.3	1.5	0.8	1800	800
112_winter_wyvern	Winter Wyvern	Intelligence	24	16	26	2.6	1.7	3.6	17	0	0.25	285	Ranged	425	0.25	0.8	1.7	0.5	1800	800
30_witch_doctor	Witch Doctor	Intelligence	18	13	22	2.3	1.4	3.3	34	0	0.25	300	Ranged	600	0.4	0.5	1.7	0.5	1800	800
42_skeleton_king	Wraith King	Strength	22	18	18	3	1.7	1.6	39	-1	0.25	315	Melee	150	0.56	0.44	1.7	0.5	1800	800
22_zuus	Zeus	Intelligence	19	11	22	2.1	1.2	3.3	37	2	0.25	315	Ranged	380	0.35	0.366	1.7	0.6	1800	800
