,0
"('19_tiny', '51_rattletrap', '52_leshrac', '66_chen', '95_troll_warlord')",2
"('8_juggernaut', '43_death_prophet', '45_pugna', '107_earth_spirit', '121_grimstroke')",2
"('13_puck', '33_enigma', '42_skeleton_king', '88_nyx_assassin', '120_pangolier')",2
"('27_shadow_shaman', '64_jakiro', '70_ursa', '76_obsidian_destroyer', '126_void_spirit')",2
"('18_sven', '29_tidehunter', '58_enchantress', '75_silencer', '126_void_spirit')",2
"('60_night_stalker', '94_medusa', '104_legion_commander', '106_ember_spirit', '128_snapfire')",2
"('51_rattletrap', '65_batrider', '94_medusa', '129_mars', '128_snapfire')",2
"('13_puck', '58_enchantress', '60_night_stalker', '94_medusa', '128_snapfire')",2
"('18_sven', '63_weaver', '104_legion_commander', '112_winter_wyvern', '128_snapfire')",1
"('62_bounty_hunter', '63_weaver', '91_wisp', '129_mars', '126_void_spirit')",1
"('46_templar_assassin', '84_ogre_magi', '87_disruptor', '106_ember_spirit', '120_pangolier')",1
"('3_bane', '29_tidehunter', '34_tinker', '109_terrorblade', '128_snapfire')",1
"('25_lina', '61_broodmother', '94_medusa', '103_elder_titan', '107_earth_spirit')",1
"('39_queenofpain', '77_lycan', '98_shredder', '121_grimstroke', '128_snapfire')",1
"('7_earthshaker', '10_morphling', '13_puck', '123_hoodwink', '135_dawnbreaker')",1
"('30_witch_doctor', '39_queenofpain', '67_spectre', '86_rubick', '120_pangolier')",1
"('16_sand_king', '50_dazzle', '56_clinkz', '81_chaos_knight', '103_elder_titan')",1
"('50_dazzle', '53_furion', '59_huskar', '97_magnataur', '120_pangolier')",1
"('16_sand_king', '56_clinkz', '63_weaver', '103_elder_titan', '129_mars')",1
"('3_bane', '16_sand_king', '17_storm_spirit', '18_sven', '107_earth_spirit')",1
"('23_kunkka', '47_viper', '48_luna', '103_elder_titan', '114_monkey_king')",1
"('26_lion', '42_skeleton_king', '92_visage', '126_void_spirit', '135_dawnbreaker')",1
"('22_zuus', '38_beastmaster', '70_ursa', '107_earth_spirit', '121_grimstroke')",1
"('25_lina', '46_templar_assassin', '91_wisp', '103_elder_titan', '129_mars')",1
"('23_kunkka', '63_weaver', '67_spectre', '119_dark_willow', '129_mars')",1
"('96_centaur', '101_skywrath_mage', '114_monkey_king', '129_mars', '128_snapfire')",1
"('25_lina', '29_tidehunter', '54_life_stealer', '103_elder_titan', '119_dark_willow')",1
"('19_tiny', '23_kunkka', '58_enchantress', '87_disruptor', '129_mars')",1
"('21_windrunner', '29_tidehunter', '94_medusa', '102_abaddon', '107_earth_spirit')",1
"('19_tiny', '29_tidehunter', '75_silencer', '109_terrorblade', '114_monkey_king')",1
"('1_antimage', '74_invoker', '84_ogre_magi', '85_undying', '126_void_spirit')",1
"('19_tiny', '21_windrunner', '29_tidehunter', '114_monkey_king', '121_grimstroke')",1
"('19_tiny', '48_luna', '84_ogre_magi', '91_wisp', '104_legion_commander')",1
"('26_lion', '63_weaver', '75_silencer', '77_lycan', '135_dawnbreaker')",1
"('38_beastmaster', '52_leshrac', '63_weaver', '85_undying', '94_medusa')",1
"('17_storm_spirit', '26_lion', '29_tidehunter', '93_slark', '129_mars')",1
"('36_necrolyte', '64_jakiro', '73_alchemist', '85_undying', '120_pangolier')",1
"('10_morphling', '55_dark_seer', '63_weaver', '97_magnataur', '119_dark_willow')",1
"('3_bane', '17_storm_spirit', '18_sven', '97_magnataur', '128_snapfire')",1
"('10_morphling', '13_puck', '25_lina', '71_spirit_breaker', '102_abaddon')",1
"('3_bane', '19_tiny', '29_tidehunter', '126_void_spirit', '128_snapfire')",1
"('18_sven', '25_lina', '85_undying', '91_wisp', '129_mars')",1
"('25_lina', '38_beastmaster', '85_undying', '94_medusa', '128_snapfire')",1
"('39_queenofpain', '57_omniknight', '90_keeper_of_the_light', '93_slark', '129_mars')",1
"('26_lion', '60_night_stalker', '69_doom_bringer', '95_troll_warlord', '135_dawnbreaker')",1
"('3_bane', '19_tiny', '34_tinker', '120_pangolier', '119_dark_willow')",1
"('16_sand_king', '76_obsidian_destroyer', '85_undying', '86_rubick', '114_monkey_king')",1
"('9_mirana', '19_tiny', '29_tidehunter', '74_invoker', '75_silencer')",1
"('13_puck', '19_tiny', '45_pugna', '84_ogre_magi', '129_mars')",1
"('19_tiny', '21_windrunner', '80_lone_druid', '91_wisp', '129_mars')",1
"('13_puck', '52_leshrac', '88_nyx_assassin', '94_medusa', '97_magnataur')",1
"('26_lion', '36_necrolyte', '48_luna', '63_weaver', '126_void_spirit')",1
"('52_leshrac', '84_ogre_magi', '91_wisp', '104_legion_commander', '109_terrorblade')",1
"('3_bane', '16_sand_king', '18_sven', '55_dark_seer', '107_earth_spirit')",1
"('48_luna', '63_weaver', '69_doom_bringer', '87_disruptor', '106_ember_spirit')",1
"('84_ogre_magi', '85_undying', '94_medusa', '106_ember_spirit', '128_snapfire')",1
"('16_sand_king', '42_skeleton_king', '47_viper', '107_earth_spirit', '112_winter_wyvern')",1
"('43_death_prophet', '63_weaver', '87_disruptor', '114_monkey_king', '129_mars')",1
"('9_mirana', '21_windrunner', '28_slardar', '30_witch_doctor', '72_gyrocopter')",1
"('38_beastmaster', '48_luna', '86_rubick', '103_elder_titan', '106_ember_spirit')",1
"('19_tiny', '38_beastmaster', '81_chaos_knight', '85_undying', '119_dark_willow')",1
"('10_morphling', '16_sand_king', '112_winter_wyvern', '120_pangolier', '126_void_spirit')",1
"('21_windrunner', '29_tidehunter', '46_templar_assassin', '123_hoodwink', '135_dawnbreaker')",1
"('3_bane', '48_luna', '92_visage', '114_monkey_king', '120_pangolier')",1
"('55_dark_seer', '88_nyx_assassin', '94_medusa', '106_ember_spirit', '112_winter_wyvern')",1
"('25_lina', '54_life_stealer', '79_shadow_demon', '98_shredder', '120_pangolier')",1
"('25_lina', '35_sniper', '110_phoenix', '121_grimstroke', '129_mars')",1
"('14_pudge', '19_tiny', '43_death_prophet', '102_abaddon', '128_snapfire')",1
"('19_tiny', '72_gyrocopter', '98_shredder', '129_mars', '123_hoodwink')",1
"('25_lina', '55_dark_seer', '94_medusa', '102_abaddon', '120_pangolier')",1
"('6_drow_ranger', '91_wisp', '103_elder_titan', '114_monkey_king', '135_dawnbreaker')",1
"('72_gyrocopter', '86_rubick', '91_wisp', '104_legion_commander', '114_monkey_king')",1
"('23_kunkka', '26_lion', '53_furion', '54_life_stealer', '120_pangolier')",1
"('19_tiny', '63_weaver', '98_shredder', '102_abaddon', '114_monkey_king')",1
"('16_sand_king', '25_lina', '77_lycan', '112_winter_wyvern', '121_grimstroke')",1
"('4_bloodseeker', '42_skeleton_king', '64_jakiro', '74_invoker', '107_earth_spirit')",1
"('9_mirana', '65_batrider', '72_gyrocopter', '84_ogre_magi', '129_mars')",1
"('3_bane', '6_drow_ranger', '38_beastmaster', '85_undying', '126_void_spirit')",1
"('11_nevermore', '28_slardar', '63_weaver', '84_ogre_magi', '111_oracle')",1
"('25_lina', '56_clinkz', '84_ogre_magi', '104_legion_commander', '107_earth_spirit')",1
"('19_tiny', '59_huskar', '66_chen', '89_naga_siren', '128_snapfire')",1
"('16_sand_king', '19_tiny', '61_broodmother', '79_shadow_demon', '85_undying')",1
"('19_tiny', '25_lina', '40_venomancer', '46_templar_assassin', '84_ogre_magi')",1
"('60_night_stalker', '86_rubick', '94_medusa', '106_ember_spirit', '114_monkey_king')",1
"('3_bane', '17_storm_spirit', '29_tidehunter', '46_templar_assassin', '128_snapfire')",1
"('4_bloodseeker', '29_tidehunter', '34_tinker', '63_weaver', '68_ancient_apparition')",1
"('3_bane', '6_drow_ranger', '91_wisp', '128_snapfire', '135_dawnbreaker')",1
"('18_sven', '21_windrunner', '38_beastmaster', '75_silencer', '114_monkey_king')",1
"('11_nevermore', '75_silencer', '93_slark', '100_tusk', '129_mars')",1
"('29_tidehunter', '34_tinker', '66_chen', '86_rubick', '114_monkey_king')",1
"('19_tiny', '60_night_stalker', '85_undying', '91_wisp', '126_void_spirit')",1
"('17_storm_spirit', '21_windrunner', '48_luna', '77_lycan', '87_disruptor')",1
"('13_puck', '75_silencer', '85_undying', '94_medusa', '129_mars')",1
"('3_bane', '9_mirana', '11_nevermore', '19_tiny', '23_kunkka')",1
"('7_earthshaker', '25_lina', '42_skeleton_king', '69_doom_bringer', '68_ancient_apparition')",1
"('7_earthshaker', '22_zuus', '100_tusk', '104_legion_commander', '114_monkey_king')",1
"('7_earthshaker', '10_morphling', '25_lina', '51_rattletrap', '123_hoodwink')",1
"('49_dragon_knight', '73_alchemist', '99_bristleback', '112_winter_wyvern', '114_monkey_king')",1
"('6_drow_ranger', '42_skeleton_king', '66_chen', '78_brewmaster', '107_earth_spirit')",1
"('6_drow_ranger', '53_furion', '59_huskar', '69_doom_bringer', '94_medusa')",1
"('34_tinker', '87_disruptor', '97_magnataur', '103_elder_titan', '114_monkey_king')",1
"('11_nevermore', '14_pudge', '43_death_prophet', '55_dark_seer', '135_dawnbreaker')",1
"('40_venomancer', '79_shadow_demon', '81_chaos_knight', '90_keeper_of_the_light', '111_oracle')",1
"('7_earthshaker', '14_pudge', '74_invoker', '92_visage', '102_abaddon')",1
"('55_dark_seer', '81_chaos_knight', '91_wisp', '114_monkey_king', '126_void_spirit')",1
"('3_bane', '7_earthshaker', '18_sven', '39_queenofpain', '128_snapfire')",1
"('18_sven', '62_bounty_hunter', '82_meepo', '84_ogre_magi', '97_magnataur')",1
"('29_tidehunter', '86_rubick', '114_monkey_king', '128_snapfire', '135_dawnbreaker')",1
"('9_mirana', '12_phantom_lancer', '16_sand_king', '75_silencer', '114_monkey_king')",1
"('80_lone_druid', '93_slark', '129_mars', '128_snapfire', '135_dawnbreaker')",1
"('35_sniper', '63_weaver', '84_ogre_magi', '104_legion_commander', '126_void_spirit')",1
"('9_mirana', '52_leshrac', '54_life_stealer', '64_jakiro', '97_magnataur')",1
"('3_bane', '46_templar_assassin', '67_spectre', '69_doom_bringer', '112_winter_wyvern')",1
"('3_bane', '29_tidehunter', '46_templar_assassin', '77_lycan', '128_snapfire')",1
"('19_tiny', '38_beastmaster', '58_enchantress', '91_wisp', '94_medusa')",1
"('45_pugna', '72_gyrocopter', '86_rubick', '91_wisp', '129_mars')",1
"('4_bloodseeker', '29_tidehunter', '77_lycan', '98_shredder', '104_legion_commander')",1
"('9_mirana', '26_lion', '65_batrider', '81_chaos_knight', '100_tusk')",1
"('4_bloodseeker', '86_rubick', '97_magnataur', '103_elder_titan', '120_pangolier')",1
"('14_pudge', '20_vengefulspirit', '35_sniper', '101_skywrath_mage', '105_techies')",1
"('93_slark', '97_magnataur', '129_mars', '126_void_spirit', '128_snapfire')",1
"('4_bloodseeker', '7_earthshaker', '35_sniper', '46_templar_assassin', '123_hoodwink')",1
"('3_bane', '25_lina', '69_doom_bringer', '84_ogre_magi', '94_medusa')",1
"('27_shadow_shaman', '41_faceless_void', '45_pugna', '60_night_stalker', '121_grimstroke')",1
"('34_tinker', '54_life_stealer', '84_ogre_magi', '120_pangolier', '121_grimstroke')",1
"('10_morphling', '34_tinker', '47_viper', '60_night_stalker', '101_skywrath_mage')",1
"('12_phantom_lancer', '64_jakiro', '76_obsidian_destroyer', '111_oracle', '120_pangolier')",1
"('6_drow_ranger', '27_shadow_shaman', '71_spirit_breaker', '84_ogre_magi', '128_snapfire')",1
"('41_faceless_void', '63_weaver', '71_spirit_breaker', '106_ember_spirit', '112_winter_wyvern')",1
"('31_lich', '39_queenofpain', '60_night_stalker', '63_weaver', '95_troll_warlord')",1
"('17_storm_spirit', '26_lion', '46_templar_assassin', '84_ogre_magi', '129_mars')",1
"('55_dark_seer', '67_spectre', '85_undying', '107_earth_spirit', '121_grimstroke')",1
"('10_morphling', '26_lion', '29_tidehunter', '126_void_spirit', '135_dawnbreaker')",1
"('10_morphling', '13_puck', '71_spirit_breaker', '112_winter_wyvern', '135_dawnbreaker')",1
"('51_rattletrap', '60_night_stalker', '94_medusa', '106_ember_spirit', '128_snapfire')",1
"('51_rattletrap', '67_spectre', '86_rubick', '120_pangolier', '128_snapfire')",1
"('16_sand_king', '48_luna', '63_weaver', '87_disruptor', '126_void_spirit')",1
"('6_drow_ranger', '60_night_stalker', '74_invoker', '111_oracle', '112_winter_wyvern')",1
"('17_storm_spirit', '41_faceless_void', '101_skywrath_mage', '104_legion_commander', '112_winter_wyvern')",1
"('34_tinker', '47_viper', '91_wisp', '100_tusk', '114_monkey_king')",1
"('3_bane', '18_sven', '87_disruptor', '97_magnataur', '105_techies')",1
"('20_vengefulspirit', '43_death_prophet', '48_luna', '102_abaddon', '114_monkey_king')",1
"('11_nevermore', '10_morphling', '29_tidehunter', '84_ogre_magi', '114_monkey_king')",1
"('18_sven', '58_enchantress', '69_doom_bringer', '106_ember_spirit', '135_dawnbreaker')",1
"('3_bane', '25_lina', '38_beastmaster', '52_leshrac', '114_monkey_king')",1
"('3_bane', '4_bloodseeker', '48_luna', '98_shredder', '112_winter_wyvern')",1
"('28_slardar', '58_enchantress', '95_troll_warlord', '97_magnataur', '120_pangolier')",1
"('6_drow_ranger', '11_nevermore', '29_tidehunter', '51_rattletrap', '135_dawnbreaker')",1
"('35_sniper', '39_queenofpain', '104_legion_commander', '106_ember_spirit', '128_snapfire')",1
"('9_mirana', '16_sand_king', '56_clinkz', '68_ancient_apparition', '77_lycan')",1
"('19_tiny', '48_luna', '78_brewmaster', '84_ogre_magi', '121_grimstroke')",1
"('10_morphling', '19_tiny', '85_undying', '91_wisp', '97_magnataur')",1
"('25_lina', '54_life_stealer', '75_silencer', '121_grimstroke', '129_mars')",1
"('33_enigma', '93_slark', '106_ember_spirit', '107_earth_spirit', '112_winter_wyvern')",1
"('94_medusa', '101_skywrath_mage', '103_elder_titan', '106_ember_spirit', '129_mars')",1
"('17_storm_spirit', '38_beastmaster', '48_luna', '63_weaver', '129_mars')",1
"('10_morphling', '14_pudge', '19_tiny', '52_leshrac', '86_rubick')",1
"('13_puck', '19_tiny', '77_lycan', '102_abaddon', '103_elder_titan')",1
"('18_sven', '29_tidehunter', '63_weaver', '74_invoker', '123_hoodwink')",1
"('3_bane', '42_skeleton_king', '43_death_prophet', '51_rattletrap', '74_invoker')",1
"('19_tiny', '66_chen', '74_invoker', '129_mars', '128_snapfire')",1
"('40_venomancer', '48_luna', '50_dazzle', '53_furion', '128_snapfire')",1
"('3_bane', '19_tiny', '34_tinker', '60_night_stalker', '75_silencer')",1
"('48_luna', '65_batrider', '86_rubick', '91_wisp', '129_mars')",1
"('26_lion', '67_spectre', '77_lycan', '79_shadow_demon', '126_void_spirit')",1
"('19_tiny', '25_lina', '47_viper', '58_enchantress', '77_lycan')",1
"('33_enigma', '42_skeleton_king', '87_disruptor', '107_earth_spirit', '114_monkey_king')",1
"('29_tidehunter', '48_luna', '63_weaver', '74_invoker', '91_wisp')",1
"('3_bane', '17_storm_spirit', '19_tiny', '29_tidehunter', '114_monkey_king')",1
"('7_earthshaker', '17_storm_spirit', '81_chaos_knight', '91_wisp', '119_dark_willow')",1
"('58_enchantress', '61_broodmother', '94_medusa', '119_dark_willow', '128_snapfire')",1
"('42_skeleton_king', '60_night_stalker', '87_disruptor', '97_magnataur', '107_earth_spirit')",1
"('97_magnataur', '111_oracle', '120_pangolier', '128_snapfire', '135_dawnbreaker')",1
"('3_bane', '10_morphling', '17_storm_spirit', '91_wisp', '103_elder_titan')",1
"('8_juggernaut', '30_witch_doctor', '85_undying', '92_visage', '129_mars')",1
"('18_sven', '29_tidehunter', '58_enchantress', '119_dark_willow', '126_void_spirit')",1
"('9_mirana', '41_faceless_void', '87_disruptor', '97_magnataur', '106_ember_spirit')",1
"('38_beastmaster', '63_weaver', '79_shadow_demon', '85_undying', '128_snapfire')",1
"('19_tiny', '38_beastmaster', '58_enchantress', '91_wisp', '129_mars')",1
"('21_windrunner', '43_death_prophet', '97_magnataur', '106_ember_spirit', '135_dawnbreaker')",1
"('55_dark_seer', '75_silencer', '100_tusk', '106_ember_spirit', '114_monkey_king')",1
"('19_tiny', '39_queenofpain', '63_weaver', '87_disruptor', '104_legion_commander')",1
"('7_earthshaker', '58_enchantress', '82_meepo', '95_troll_warlord', '128_snapfire')",1
"('3_bane', '23_kunkka', '48_luna', '85_undying', '129_mars')",1
"('19_tiny', '38_beastmaster', '107_earth_spirit', '109_terrorblade', '135_dawnbreaker')",1
"('46_templar_assassin', '65_batrider', '77_lycan', '88_nyx_assassin', '121_grimstroke')",1
"('7_earthshaker', '10_morphling', '20_vengefulspirit', '28_slardar', '102_abaddon')",1
"('26_lion', '29_tidehunter', '74_invoker', '93_slark', '128_snapfire')",1
"('39_queenofpain', '42_skeleton_king', '75_silencer', '120_pangolier', '121_grimstroke')",1
"('12_phantom_lancer', '17_storm_spirit', '29_tidehunter', '86_rubick', '119_dark_willow')",1
"('52_leshrac', '74_invoker', '91_wisp', '107_earth_spirit', '123_hoodwink')",1
"('55_dark_seer', '81_chaos_knight', '91_wisp', '106_ember_spirit', '119_dark_willow')",1
"('18_sven', '55_dark_seer', '58_enchantress', '107_earth_spirit', '126_void_spirit')",1
"('23_kunkka', '25_lina', '84_ogre_magi', '107_earth_spirit', '109_terrorblade')",1
"('47_viper', '60_night_stalker', '84_ogre_magi', '94_medusa', '120_pangolier')",1
"('19_tiny', '25_lina', '79_shadow_demon', '87_disruptor', '120_pangolier')",1
"('14_pudge', '25_lina', '54_life_stealer', '104_legion_commander', '110_phoenix')",1
"('48_luna', '58_enchantress', '92_visage', '120_pangolier', '135_dawnbreaker')",1
"('58_enchantress', '63_weaver', '71_spirit_breaker', '72_gyrocopter', '98_shredder')",1
"('19_tiny', '84_ogre_magi', '91_wisp', '97_magnataur', '104_legion_commander')",1
"('7_earthshaker', '56_clinkz', '84_ogre_magi', '129_mars', '126_void_spirit')",1
"('10_morphling', '15_razor', '60_night_stalker', '85_undying', '123_hoodwink')",1
"('3_bane', '19_tiny', '23_kunkka', '91_wisp', '135_dawnbreaker')",1
"('26_lion', '64_jakiro', '69_doom_bringer', '93_slark', '106_ember_spirit')",1
"('26_lion', '52_leshrac', '70_ursa', '97_magnataur', '128_snapfire')",1
"('74_invoker', '81_chaos_knight', '84_ogre_magi', '94_medusa', '119_dark_willow')",1
"('15_razor', '43_death_prophet', '48_luna', '51_rattletrap', '100_tusk')",1
"('12_phantom_lancer', '60_night_stalker', '85_undying', '97_magnataur', '128_snapfire')",1
"('25_lina', '60_night_stalker', '72_gyrocopter', '84_ogre_magi', '86_rubick')",1
"('13_puck', '19_tiny', '29_tidehunter', '121_grimstroke', '128_snapfire')",1
"('48_luna', '60_night_stalker', '84_ogre_magi', '126_void_spirit', '128_snapfire')",1
"('63_weaver', '84_ogre_magi', '94_medusa', '106_ember_spirit', '108_abyssal_underlord')",1
"('3_bane', '20_vengefulspirit', '109_terrorblade', '129_mars', '126_void_spirit')",1
"('19_tiny', '55_dark_seer', '60_night_stalker', '93_slark', '121_grimstroke')",1
"('7_earthshaker', '25_lina', '72_gyrocopter', '86_rubick', '103_elder_titan')",1
"('2_axe', '18_sven', '25_lina', '104_legion_commander', '110_phoenix')",1
"('39_queenofpain', '103_elder_titan', '109_terrorblade', '129_mars', '128_snapfire')",1
"('19_tiny', '60_night_stalker', '63_weaver', '74_invoker', '75_silencer')",1
"('52_leshrac', '55_dark_seer', '64_jakiro', '95_troll_warlord', '107_earth_spirit')",1
"('19_tiny', '52_leshrac', '79_shadow_demon', '91_wisp', '129_mars')",1
"('7_earthshaker', '12_phantom_lancer', '25_lina', '88_nyx_assassin', '123_hoodwink')",1
"('7_earthshaker', '30_witch_doctor', '46_templar_assassin', '60_night_stalker', '70_ursa')",1
"('38_beastmaster', '54_life_stealer', '63_weaver', '85_undying', '128_snapfire')",1
"('7_earthshaker', '11_nevermore', '20_vengefulspirit', '89_naga_siren', '135_dawnbreaker')",1
"('19_tiny', '54_life_stealer', '77_lycan', '85_undying', '123_hoodwink')",1
"('3_bane', '19_tiny', '29_tidehunter', '74_invoker', '128_snapfire')",1
"('25_lina', '41_faceless_void', '97_magnataur', '102_abaddon', '119_dark_willow')",1
"('7_earthshaker', '10_morphling', '23_kunkka', '26_lion', '135_dawnbreaker')",1
"('3_bane', '18_sven', '21_windrunner', '69_doom_bringer', '85_undying')",1
"('8_juggernaut', '78_brewmaster', '86_rubick', '126_void_spirit', '128_snapfire')",1
"('19_tiny', '25_lina', '60_night_stalker', '94_medusa', '102_abaddon')",1
"('7_earthshaker', '10_morphling', '21_windrunner', '79_shadow_demon', '104_legion_commander')",1
"('7_earthshaker', '9_mirana', '16_sand_king', '54_life_stealer', '75_silencer')",1
"('15_razor', '48_luna', '60_night_stalker', '79_shadow_demon', '129_mars')",1
"('16_sand_king', '41_faceless_void', '52_leshrac', '101_skywrath_mage', '102_abaddon')",1
"('19_tiny', '23_kunkka', '47_viper', '72_gyrocopter', '79_shadow_demon')",1
"('32_riki', '38_beastmaster', '49_dragon_knight', '72_gyrocopter', '123_hoodwink')",1
"('16_sand_king', '25_lina', '60_night_stalker', '70_ursa', '85_undying')",1
"('25_lina', '31_lich', '55_dark_seer', '71_spirit_breaker', '114_monkey_king')",1
"('34_tinker', '40_venomancer', '61_broodmother', '80_lone_druid', '120_pangolier')",1
"('16_sand_king', '60_night_stalker', '75_silencer', '86_rubick', '114_monkey_king')",1
"('16_sand_king', '19_tiny', '77_lycan', '88_nyx_assassin', '121_grimstroke')",1
"('19_tiny', '36_necrolyte', '39_queenofpain', '114_monkey_king', '128_snapfire')",1
"('19_tiny', '25_lina', '63_weaver', '71_spirit_breaker', '91_wisp')",1
"('3_bane', '38_beastmaster', '72_gyrocopter', '114_monkey_king', '121_grimstroke')",1
"('25_lina', '60_night_stalker', '64_jakiro', '76_obsidian_destroyer', '93_slark')",1
"('4_bloodseeker', '25_lina', '26_lion', '60_night_stalker', '112_winter_wyvern')",1
"('23_kunkka', '94_medusa', '104_legion_commander', '110_phoenix', '128_snapfire')",1
"('41_faceless_void', '68_ancient_apparition', '97_magnataur', '106_ember_spirit', '120_pangolier')",1
"('3_bane', '97_magnataur', '106_ember_spirit', '114_monkey_king', '119_dark_willow')",1
"('49_dragon_knight', '52_leshrac', '69_doom_bringer', '103_elder_titan', '111_oracle')",1
"('52_leshrac', '69_doom_bringer', '80_lone_druid', '121_grimstroke', '128_snapfire')",1
"('1_antimage', '25_lina', '64_jakiro', '92_visage', '120_pangolier')",1
"('7_earthshaker', '19_tiny', '39_queenofpain', '85_undying', '108_abyssal_underlord')",1
"('26_lion', '39_queenofpain', '41_faceless_void', '69_doom_bringer', '103_elder_titan')",1
"('29_tidehunter', '97_magnataur', '114_monkey_king', '121_grimstroke', '135_dawnbreaker')",1
"('11_nevermore', '71_spirit_breaker', '81_chaos_knight', '112_winter_wyvern', '121_grimstroke')",1
"('26_lion', '35_sniper', '84_ogre_magi', '98_shredder', '129_mars')",1
"('34_tinker', '46_templar_assassin', '87_disruptor', '129_mars', '135_dawnbreaker')",1
"('9_mirana', '10_morphling', '17_storm_spirit', '79_shadow_demon', '129_mars')",1
"('29_tidehunter', '36_necrolyte', '88_nyx_assassin', '110_phoenix', '135_dawnbreaker')",1
"('19_tiny', '25_lina', '63_weaver', '77_lycan', '84_ogre_magi')",1
"('18_sven', '63_weaver', '71_spirit_breaker', '75_silencer', '128_snapfire')",1
"('3_bane', '25_lina', '29_tidehunter', '72_gyrocopter', '91_wisp')",1
"('4_bloodseeker', '14_pudge', '35_sniper', '71_spirit_breaker', '121_grimstroke')",1
"('42_skeleton_king', '51_rattletrap', '64_jakiro', '96_centaur', '126_void_spirit')",1
"('25_lina', '60_night_stalker', '94_medusa', '103_elder_titan', '126_void_spirit')",1
"('19_tiny', '29_tidehunter', '64_jakiro', '126_void_spirit', '123_hoodwink')",1
"('23_kunkka', '75_silencer', '94_medusa', '106_ember_spirit', '114_monkey_king')",1
"('39_queenofpain', '41_faceless_void', '103_elder_titan', '129_mars', '128_snapfire')",1
"('25_lina', '31_lich', '80_lone_druid', '110_phoenix', '129_mars')",1
"('8_juggernaut', '69_doom_bringer', '97_magnataur', '128_snapfire', '123_hoodwink')",1
"('10_morphling', '64_jakiro', '70_ursa', '114_monkey_king', '129_mars')",1
"('20_vengefulspirit', '67_spectre', '85_undying', '114_monkey_king', '126_void_spirit')",1
"('55_dark_seer', '60_night_stalker', '64_jakiro', '93_slark', '119_dark_willow')",1
"('19_tiny', '39_queenofpain', '77_lycan', '84_ogre_magi', '86_rubick')",1
"('25_lina', '55_dark_seer', '88_nyx_assassin', '114_monkey_king', '128_snapfire')",1
"('25_lina', '63_weaver', '71_spirit_breaker', '84_ogre_magi', '106_ember_spirit')",1
"('67_spectre', '72_gyrocopter', '77_lycan', '100_tusk', '120_pangolier')",1
"('43_death_prophet', '48_luna', '51_rattletrap', '75_silencer', '104_legion_commander')",1
"('13_puck', '48_luna', '79_shadow_demon', '110_phoenix', '129_mars')",1
"('81_chaos_knight', '84_ogre_magi', '106_ember_spirit', '119_dark_willow', '129_mars')",1
"('25_lina', '29_tidehunter', '42_skeleton_king', '75_silencer', '128_snapfire')",1
"('3_bane', '15_razor', '43_death_prophet', '71_spirit_breaker', '95_troll_warlord')",1
"('18_sven', '25_lina', '57_omniknight', '69_doom_bringer', '75_silencer')",1
